label,mid
Tearing,/m/07qcx4z
Telephone,/m/07cx4
Thump_and_thud,/m/07qnq_y
Thunder,/m/0ngt1
Thunderstorm,/m/0jb2l
Tick,/m/07qjznt
Tick-tock,/m/07qjznl
Toilet_flush,/m/01jt3m
Tools,/m/07k1x
Traffic_noise_and_roadway_noise,/m/0btp2
Train,/m/07jdr
Trickle_and_dribble,/m/07pqc89
Truck,/m/07r04
Trumpet,/m/07gql
Typewriter,/m/0c2wf
Typing,/m/0316dw
Vehicle,/m/07yv9
Walk_and_footsteps,/m/07pbtc8
Water,/m/0838f
Water_tap_and_faucet,/m/02jz0l
Waves_and_surf,/m/034srq
Whispering,/m/02rtxlg
Whoosh_and_swoosh_and_swish,/m/07rqsjt
Wild_animals,/m/01280g
Wind,/m/03m9d0z
Wind_chime,/m/026fgl
Wind_instrument_and_woodwind_instrument,/m/085jw
Wood,/m/083vt
Writing,/m/081rb
Yell,/m/07sr1lc
Zipper_(clothing),/m/01s0vc
